Match id.,Match Date,Inning,Position,Runs,Range of score,4s,4s in last 5 matches,6s,6s in last 5 matches,last 5 matches Ba\tting Average,Dismissal,Opposition,Venue City,Stadium,Weather,Pitch
ODI # 4669,14 Oct 2023,2,1,86,High,6,21,6,11,53,caught,v Pakistan,Ahmedabad,Narindra Modi Stadium,Sunny,Dry Pitch
ODI # 4666,11 Oct 2023,2,1,131,Low,16,13,5,8,33.5,bowled,v Afghanistan,Delhi,Arun Jaitley Stadium,Sunny,Flat Pitch
ODI # 4662,8 Oct 2023,2,1,0,Out of Range,0,18,0,14,47.5,lbw,v Australia,Chennai,MA Chidambaram Stadium,Cloudy,Green Pitch
ODI # 4657,27 Sep 2023,2,1,81,Low,5,19,6,11,61,caught,v Australia,Rajkot,Saurashtra Cricket Association Stadium,Hot and Humidity,Flat Pitch
ODI # 4649,17 Sep 2023,2,-,0,Low,0,21,0,11,48.5,DNB,v Sri Lanka,Colombo (RPS),R.Premadasa Stadium,Cloudy,Dry Pitch
ODI # 4645,15 Sep 2023,2,1,0,Medium,0,23,0,11,68.6,caught,v Bangladesh,Colombo (RPS),R.Premadasa Stadium,Cloudy,Dry Pitch
ODI # 4641,12 Sep 2023,1,1,53,Medium,7,18,2,11,61,bowled,v Sri Lanka,Colombo (RPS),R.Premadasa Stadium,Rainy,Dry Pitch
ODI # 4639,10 Sep 2023,1,1,56,Medium,6,14,4,7,46.6,caught,v Pakistan,Colombo (RPS),R.Premadasa Stadium,Rainy,Dry Pitch
ODI # 4632,4 Sep 2023,2,1,74,Low,6,17,5,8,41.75,not out,v Nepal,Pallekele,Pallekele International Cricket Stadium,Rainy,Green Pitch
ODI # 4630,2 Sep 2023,1,1,11,Low,2,22,0,10,51.75,bowled,v Pakistan,Pallekele,Pallekele International Cricket Stadium,Rainy,Green Pitch
ODI # 4622,27 Jul 2023,2,7,12,Low,2,24,0,12,45.8,not out,v West Indies,Bridgetown,Kensington Oval,Sunny,Flat Pitch
ODI # 4545,22 Mar 2023,2,1,30,Low,2,24,2,13,48.2,caught,v Australia,Chennai,MA Chidambaram Stadium,Hot and Humidity,Green Pitch
ODI # 4541,19 Mar 2023,1,1,13,High,2,24,0,14,49,caught,v Australia,Visakhapatnam,ACA-VDCA Cricket Stadium,Sunny,Green Pitch
ODI # 4511,24 Jan 2023,1,1,101,Medium,9,24,6,11,45.4,bowled,v New Zealand,Indore,Holkar Cricket Stadium,Cloudy,Flat Pitch
ODI # 4509,21 Jan 2023,2,1,51,Low,7,20,2,14,56.75,lbw,v New Zealand,Raipur,Shaheed Veer Narayan Singh International Stadium,Sunny,Flat Pitch
ODI # 4507,18 Jan 2023,1,1,34,Medium,4,20,2,13,55,caught,v New Zealand,Hyderabad,Rajiv Gandhi International Stadium,Sunny,Green Pitch
ODI # 4505,15 Jan 2023,1,1,42,Low,2,22,3,10,48.75,caught,v Sri Lanka,Thiruvananthapuram,Greenfield International Stadium,Cloudy,Green Pitch
ODI # 4503,12 Jan 2023,2,1,17,High,2,20,1,9,44.5,caught,v Sri Lanka,Eden Gardens,Eden Gardens,Sunny,Flat Pitch
ODI # 4501,10 Jan 2023,1,1,83,Medium,9,18,3,11,57,bowled,v Sri Lanka,Guwahati,Barsapara Cricket Stadium,Sunny,Flat Pitch
ODI # 4496,7 Dec 2022,2,9,51,Low,3,18,5,6,33.25,not out,v Bangladesh,Mirpur,Shere Bangla National Stadium,cold and humidity,Green Pitch
ODI # 4493,4 Dec 2022,1,1,27,Low,4,14,1,5,27.75,bowled,v Bangladesh,Mirpur,Shere Bangla National Stadium,cold and humidity,Green Pitch
ODI # 4433,17 Jul 2022,2,1,17,Low,4,20,0,6,38.5,caught,v England,Manchester,Old Trafford,Hot and Humidity,Dry Pitch
ODI # 4428,14 Jul 2022,2,1,0,Medium,0,27,0,6,47.75,lbw,v England,Lord's,Lord's Cricket Ground,Hot and Humidity,Green Pitch
ODI # 4424,12 Jul 2022,2,1,76,Low,7,24,5,1,28,not out,v England,The Oval,The Oval Cricket Ground,Sunny and Hot,Green Pitch
ODI # 4356,11 Feb 2022,1,1,13,Low,3,25,0,1,31,bowled,v West Indies,Ahmedabad,Narindra Modi Stadium,Hot and Humidity,Flat Pitch
ODI # 4355,9 Feb 2022,1,1,5,Medium,0,33,0,7,53.8,caught,v West Indies,Ahmedabad,Narindra Modi Stadium,Cloudy,Flat Pitch
ODI # 4353,6 Feb 2022,2,1,60,Low,10,29,1,6,50.2,lbw,v West Indies,Ahmedabad,Narindra Modi Stadium,Cloudy,Flat Pitch
ODI # 4284,28 Mar 2021,1,1,37,Low,6,25,0,6,44.8,bowled,v England,Pune,Maharashtra Cricket Association Stadium,Hot and Humidity,Green Pitch
ODI # 4283,26 Mar 2021,1,1,25,Low,5,28,0,7,52.4,caught,v England,Pune,Maharashtra Cricket Association Stadium,Hot and Humidity,Green Pitch
ODI # 4281,23 Mar 2021,1,1,28,Low,4,41,0,12,78.6,caught,v England,Pune,Maharashtra Cricket Association Stadium,cloudy,Dry Pitch